SURVEY YEAR Code,SURVEY YEAR,AREA Code,AREA,/A Population and Households,A1101_Total population (Both sexes)[person],Annotation
1975100000,1975,0,All Japan,,"111,939,643",
1975100000,1975,1000,Hokkaido,,"5,338,206",
1975100000,1975,2000,Aomori-ken,,"1,468,646",
1975100000,1975,3000,Iwate-ken,,"1,385,563",
1975100000,1975,4000,Miyagi-ken,,"1,955,267",
1975100000,1975,5000,Akita-ken,,"1,232,481",
1975100000,1975,6000,Yamagata-ken,,"1,220,302",
1975100000,1975,7000,Fukushima-ken,,"1,970,616",
1975100000,1975,8000,Ibaraki-ken,,"2,342,198",
1975100000,1975,9000,Tochigi-ken,,"1,698,003",
1975100000,1975,10000,Gumma-ken,,"1,756,480",
1975100000,1975,11000,Saitama-ken,,"4,821,340",
1975100000,1975,12000,Chiba-ken,,"4,149,147",
1975100000,1975,13000,Tokyo-to,,"11,673,554",
1975100000,1975,14000,Kanagawa-ken,,"6,397,748",
1975100000,1975,15000,Niigata-ken,,"2,391,938",
1975100000,1975,16000,Toyama-ken,,"1,070,791",
1975100000,1975,17000,Ishikawa-ken,,"1,069,872",
1975100000,1975,18000,Fukui-ken,,"773,599",
1975100000,1975,19000,Yamanashi-ken,,"783,050",
1975100000,1975,20000,Nagano-ken,,"2,017,564",
1975100000,1975,21000,Gifu-ken,,"1,867,978",
1975100000,1975,22000,Shizuoka-ken,,"3,308,799",
1975100000,1975,23000,Aichi-ken,,"5,923,569",
1975100000,1975,24000,Mie-ken,,"1,626,002",
1975100000,1975,25000,Shiga-ken,,"985,621",
1975100000,1975,26000,Kyoto-fu,,"2,424,856",
1975100000,1975,27000,Osaka-fu,,"8,278,925",
1975100000,1975,28000,Hyogo-ken,,"4,992,140",
1975100000,1975,29000,Nara-ken,,"1,077,491",
1975100000,1975,30000,Wakayama-ken,,"1,072,118",
1975100000,1975,31000,Tottori-ken,,"581,311",
1975100000,1975,32000,Shimane-ken,,"768,886",
1975100000,1975,33000,Okayama-ken,,"1,814,305",
1975100000,1975,34000,Hiroshima-ken,,"2,646,324",
1975100000,1975,35000,Yamaguchi-ken,,"1,555,218",
1975100000,1975,36000,Tokushima-ken,,"805,166",
1975100000,1975,37000,Kagawa-ken,,"961,292",
1975100000,1975,38000,Ehime-ken,,"1,465,215",
1975100000,1975,39000,Kochi-ken,,"808,397",
1975100000,1975,40000,Fukuoka-ken,,"4,292,963",
1975100000,1975,41000,Saga-ken,,"837,674",
1975100000,1975,42000,Nagasaki-ken,,"1,571,912",
1975100000,1975,43000,Kumamoto-ken,,"1,715,273",
1975100000,1975,44000,Oita-ken,,"1,190,314",
1975100000,1975,45000,Miyazaki-ken,,"1,085,055",
1975100000,1975,46000,Kagoshima-ken,,"1,723,902",
1975100000,1975,47000,Okinawa-ken,,"1,042,572",
1976100000,1976,0,All Japan,,"113,094,000",
1976100000,1976,1000,Hokkaido,,"5,395,000",
1976100000,1976,2000,Aomori-ken,,"1,484,000",
1976100000,1976,3000,Iwate-ken,,"1,395,000",
1976100000,1976,4000,Miyagi-ken,,"1,984,000",
1976100000,1976,5000,Akita-ken,,"1,239,000",
1976100000,1976,6000,Yamagata-ken,,"1,227,000",
1976100000,1976,7000,Fukushima-ken,,"1,984,000",
1976100000,1976,8000,Ibaraki-ken,,"2,380,000",
1976100000,1976,9000,Tochigi-ken,,"1,717,000",
1976100000,1976,10000,Gumma-ken,,"1,778,000",
1976100000,1976,11000,Saitama-ken,,"4,964,000",
1976100000,1976,12000,Chiba-ken,,"4,267,000",
1976100000,1976,13000,Tokyo-to,,"11,674,000",
1976100000,1976,14000,Kanagawa-ken,,"6,510,000",
1976100000,1976,15000,Niigata-ken,,"2,406,000",
1976100000,1976,16000,Toyama-ken,,"1,079,000",
1976100000,1976,17000,Ishikawa-ken,,"1,082,000",
1976100000,1976,18000,Fukui-ken,,"779,000",
1976100000,1976,19000,Yamanashi-ken,,"787,000",
