team,code,area
東京Ｖ,13000.0,Tokyo-to
FC東京,13000.0,Tokyo-to
町田,13000.0,Tokyo-to
横浜FM-F,14000.0,Kanagawa-ken
横浜FM-M,14000.0,Kanagawa-ken
湘南,14000.0,Kanagawa-ken
横浜FM,14000.0,Kanagawa-ken
川崎F,14000.0,Kanagawa-ken
横浜FC,14000.0,Kanagawa-ken
金沢,14000.0,Kanagawa-ken
広島,34000.0,Hiroshima-ken
鹿島,8000.0,Ibaraki-ken
水戸,8000.0,Ibaraki-ken
G大阪,27000.0,Osaka-fu
C大阪,27000.0,Osaka-fu
清水,22000.0,Shizuoka-ken
磐田,22000.0,Shizuoka-ken
浦和,11000.0,Saitama-ken
大宮,11000.0,Saitama-ken
市原,12000.0,Chiba-ken
柏,12000.0,Chiba-ken
千葉,12000.0,Chiba-ken
岐阜,12000.0,Chiba-ken
名古屋,23000.0,Aichi-ken
福岡,40000.0,Fukuoka-ken
北九州,40000.0,Fukuoka-ken
京都,26000.0,Kyoto-fu
神戸,28000.0,Hyogo-ken
札幌,1000.0,Hokkaido
仙台,4000.0,Miyagi-ken
大分,44000.0,Oita-ken
新潟,15000.0,Niigata-ken
甲府,19000.0,Yamanashi-ken
山形,6000.0,Yamagata-ken
鳥栖,41000.0,Saga-ken
徳島,36000.0,Tokushima-ken
松本,20000.0,Nagano-ken
長崎,42000.0,Nagasaki-ken
群馬,10000.0,Gumma-ken
愛媛,38000.0,Ehime-ken
熊本,43000.0,Kumamoto-ken
栃木,9000.0,Tochigi-ken
岡山,33000.0,Okayama-ken
富山,16000.0,Toyama-ken
鳥取,31000.0,Tottori-ken
讃岐,37000.0,Kagawa-ken
山口,35000.0,Yamaguchi-ken
