SURVEY YEAR,AREA Code,AREA,A1101_Total population (Both sexes)[person]
2006,0,All Japan,"127,901,000"
2006,1000,Hokkaido,"5,605,000"
2006,2000,Aomori-ken,"1,424,000"
2006,3000,Iwate-ken,"1,375,000"
2006,4000,Miyagi-ken,"2,358,000"
2006,5000,Akita-ken,"1,134,000"
2006,6000,Yamagata-ken,"1,207,000"
2006,7000,Fukushima-ken,"2,080,000"
2006,8000,Ibaraki-ken,"2,974,000"
2006,9000,Tochigi-ken,"2,016,000"
2006,10000,Gumma-ken,"2,022,000"
2006,11000,Saitama-ken,"7,079,000"
2006,12000,Chiba-ken,"6,084,000"
2006,13000,Tokyo-to,"12,704,000"
2006,14000,Kanagawa-ken,"8,846,000"
2006,15000,Niigata-ken,"2,420,000"
2006,16000,Toyama-ken,"1,110,000"
2006,17000,Ishikawa-ken,"1,173,000"
2006,18000,Fukui-ken,"820,000"
2006,19000,Yamanashi-ken,"880,000"
2006,20000,Nagano-ken,"2,189,000"
2006,21000,Gifu-ken,"2,105,000"
2006,22000,Shizuoka-ken,"3,795,000"
2006,23000,Aichi-ken,"7,307,000"
2006,24000,Mie-ken,"1,872,000"
2006,25000,Shiga-ken,"1,390,000"
2006,26000,Kyoto-fu,"2,646,000"
2006,27000,Osaka-fu,"8,828,000"
2006,28000,Hyogo-ken,"5,592,000"
2006,29000,Nara-ken,"1,417,000"
2006,30000,Wakayama-ken,"1,029,000"
2006,31000,Tottori-ken,"604,000"
2006,32000,Shimane-ken,"737,000"
2006,33000,Okayama-ken,"1,956,000"
2006,34000,Hiroshima-ken,"2,875,000"
2006,35000,Yamaguchi-ken,"1,484,000"
2006,36000,Tokushima-ken,"806,000"
2006,37000,Kagawa-ken,"1,009,000"
2006,38000,Ehime-ken,"1,460,000"
2006,39000,Kochi-ken,"790,000"
2006,40000,Fukuoka-ken,"5,057,000"
2006,41000,Saga-ken,"863,000"
2006,42000,Nagasaki-ken,"1,467,000"
2006,43000,Kumamoto-ken,"1,838,000"
2006,44000,Oita-ken,"1,207,000"
2006,45000,Miyazaki-ken,"1,150,000"
2006,46000,Kagoshima-ken,"1,744,000"
2006,47000,Okinawa-ken,"1,369,000"
2007,0,All Japan,"128,033,000"
2007,1000,Hokkaido,"5,579,000"
2007,2000,Aomori-ken,"1,409,000"
2007,3000,Iwate-ken,"1,364,000"
2007,4000,Miyagi-ken,"2,354,000"
2007,5000,Akita-ken,"1,121,000"
2007,6000,Yamagata-ken,"1,198,000"
2007,7000,Fukushima-ken,"2,067,000"
2007,8000,Ibaraki-ken,"2,973,000"
2007,9000,Tochigi-ken,"2,016,000"
2007,10000,Gumma-ken,"2,020,000"
2007,11000,Saitama-ken,"7,106,000"
2007,12000,Chiba-ken,"6,119,000"
2007,13000,Tokyo-to,"12,848,000"
2007,14000,Kanagawa-ken,"8,912,000"
2007,15000,Niigata-ken,"2,408,000"
2007,16000,Toyama-ken,"1,107,000"
2007,17000,Ishikawa-ken,"1,173,000"
2007,18000,Fukui-ken,"817,000"
2007,19000,Yamanashi-ken,"877,000"
2007,20000,Nagano-ken,"2,182,000"
2007,21000,Gifu-ken,"2,104,000"
2007,22000,Shizuoka-ken,"3,796,000"
2007,23000,Aichi-ken,"7,357,000"
2007,24000,Mie-ken,"1,873,000"
2007,25000,Shiga-ken,"1,398,000"
