stadium,capacity
日産スタジアム,72081
埼玉スタジアム2002,62010
国立競技場,54224
静岡スタジアムエコパ,51697
エコパスタジアム,51697
宮城スタジアム,49133
ひとめぼれスタジアム宮城,49133
味の素スタジアム,48999
ヤンマースタジアム長居,47853
大阪長居スタジアム,47853
新潟スタジアム,41684
東北電力ビッグスワンスタジアム,41684
デンカビッグスワンスタジアム,41684
豊田スタジアム,41255
札幌ドーム,39856
パナソニックスタジアム吹田,39694
市立吹田サッカースタジアム,39694
県立カシマサッカースタジアム,37496
エディオンスタジアム広島,36894
広島ビッグアーチ,36894
神戸総合運動公園ユニバー記念競技場,35910
大分銀行ドーム,31997
九州石油ドーム,31997
えがお健康スタジアム,30684
熊本県民総合運動公園陸上競技場,30684
ノエビアスタジアム神戸,28425
ホームズスタジアム神戸,28425
等々力陸上競技場,26827
ベストアメニティスタジアム,24130
Pikaraスタジアム,22338
レベルファイブスタジアム,22331
東平尾公園博多の森球技場,22331
浦和駒場スタジアム,21500
さいたま市浦和駒場スタジアム,21500
万博記念競技場,21000
ニンジニアスタジアム,20919
NDソフトスタジアム山形,20784
京都市西京極総合運動公園陸上競技場兼球技場,20588
松本平広域公園総合球技場,20336
石川県西部緑地公園陸上競技場,20261
トランスコスモススタジアム長崎,20258
IAIスタジアム日本平,20248
日本平スタジアム,20248
アウトソーシングスタジアム日本平,20248
名古屋市瑞穂球技場,20223
名古屋市瑞穂陸上競技場,20223
パロマ瑞穂スタジアム,20223
秋田市八橋運動公園陸上競技場,20125
駒沢オリンピック公園総合運動場陸上競技場,20010
柏の葉公園総合競技場,20000
ユアテックスタジアム仙台,19694
札幌厚別公園競技場,19620
フクダ電子アリーナ,19470
富山県総合運動公園陸上競技場,18588
鳴門・大塚スポーツパークポカリスエットスタジアム,17924
キンチョウスタジアム,17892
佐賀県総合運動場陸上競技場,17000
岐阜メモリアルセンター長良川競技場,16300
長崎市総合運動公園かきどまり陸上競技場,16000
山梨中銀スタジアム,15859
山梨県小瀬スポーツ公園陸上競技場,15859
平塚競技場,15732
ShonanBMWスタジアム平塚,15732
大阪長居第2陸上競技場,15516
長野Uスタジアム,15515
NACK5スタジアム大宮,15491
シティライトスタジアム,15479
ニッパツ三ツ沢球技場,15440
横浜市三ツ沢公園球技場,15440
栃木県グリーンスタジアム,15325
ミクニワールドスタジアム北九州,15300
正田醤油スタジアム群馬,15190
ヤマハスタジアム(磐田),15165
維新みらいふスタジアム,15115
日立柏サッカー場,15109
三協フロンテア柏スタジアム,15109
熊谷スポーツ文化公園陸上競技場,15002
熊本市水前寺競技場,15000
コカ・コーラウエスト広島スタジアム,13800
沖縄市陸上競技場,13400
鹿児島県立鴨池陸上競技場,12584
白波スタジアム,12584
とりぎんバードスタジアム,11999
町田市立陸上競技場,10328
タピック県総ひやごんスタジアム,10189
ケーズデンキスタジアム水戸,10152
岡山県津山陸上競技場,10000
下関市営下関陸上競技場,9430
会津総合運動公園あいづ陸上競技場,7290
味の素フィールド西が丘,7258
チュウブYAJINスタジアム,7044
とうほう・みんなのスタジアム,6464
相模原ギオンスタジアム,6291
横浜市三ツ沢公園陸上競技場,5425
愛鷹広域公園多目的競技場,5104
藤枝総合運動公園サッカー場,5056
あきぎんスタジアム,5017
いわぎんスタジアム,4938
江東区夢の島競技場,2429
